learning_rate: 0.1, batch_size: 50, num_epochs: 100, dropout_prob: 0.5, error(test): 0.808387696626, acc(test): 0.749367088608, time: 2038.5178463459015
error(train),acc(train),error(valid),acc(valid)
3.89570245,0.02716000,3.89164754,0.02746835
1.56629386,0.59526000,1.56985948,0.59708861
1.29253494,0.64590000,1.29712109,0.64284810
1.15084289,0.67222000,1.15510698,0.66892405
1.09760893,0.68802000,1.10516837,0.68430380
1.04590863,0.69048000,1.05272896,0.68569620
1.00332033,0.69864000,1.01100530,0.69569620
0.96528122,0.71533000,0.97851235,0.70930380
0.94721460,0.71800000,0.95900589,0.71322785
0.93051374,0.72188000,0.93835768,0.71753165
0.91808412,0.72049000,0.93194702,0.71430380
0.91240359,0.72102000,0.92418024,0.71696203
0.88911686,0.72558000,0.90288128,0.72170886
0.88497899,0.72847000,0.89750131,0.72284810
0.86889998,0.73388000,0.88195091,0.73132911
0.86860458,0.73036000,0.87884543,0.72702532
0.85451240,0.73473000,0.86915286,0.72816456
0.85879607,0.73892000,0.87384016,0.73341772
0.85038469,0.73868000,0.86335441,0.73740506
0.85577448,0.73864000,0.86897138,0.73386076
0.85225288,0.73537000,0.86468547,0.73139241
0.84669046,0.73731000,0.85845584,0.73493671
0.83706538,0.74020000,0.84938043,0.73443038
0.84931012,0.72767000,0.86375716,0.72468354
0.83471985,0.74222000,0.84904120,0.73765823
0.85140989,0.73652000,0.86686779,0.73120253
0.83431219,0.73994000,0.84796635,0.73525316
0.83132888,0.74304000,0.84672453,0.73765823
0.82058564,0.74455000,0.83560555,0.74120253
0.82513270,0.74460000,0.84114987,0.74088608
0.82603765,0.74417000,0.83950353,0.73943038
0.82903197,0.74559000,0.84093577,0.74012658
0.83777005,0.74564000,0.85216181,0.74284810
0.84171878,0.73762000,0.85251303,0.73525316
0.81140275,0.75083000,0.82500500,0.74512658
0.83139595,0.73807000,0.84311642,0.73322785
0.82518466,0.74300000,0.83965280,0.73835443
0.81450949,0.74754000,0.82739283,0.74424051
0.81510957,0.74882000,0.82809048,0.74449367
0.81950143,0.74600000,0.83358449,0.74259494
0.82600131,0.74599000,0.84026749,0.74569620
0.81562837,0.74653000,0.83015440,0.74443038
0.81961568,0.73732000,0.83276914,0.73373418
0.81124692,0.75075000,0.82513176,0.74917722
0.81233808,0.74751000,0.82543091,0.74582278
0.82000805,0.74383000,0.83130389,0.74132911
0.81136472,0.74763000,0.82532985,0.74531646
0.79807206,0.75172000,0.81025569,0.74734177
0.80739699,0.74765000,0.82035586,0.74525316
0.80964867,0.74826000,0.82442989,0.74512658
0.81488181,0.74575000,0.83004112,0.74120253
0.82157281,0.75078000,0.83450215,0.74765823
0.81500116,0.74583000,0.82752057,0.74664557
0.80989708,0.74692000,0.82264821,0.74367089
0.80457312,0.74652000,0.81785222,0.74120253
0.80786892,0.74947000,0.82181688,0.74886076
0.80593854,0.74903000,0.82053733,0.74708861
0.80570410,0.75375000,0.82392749,0.74892405
0.80362184,0.74683000,0.81675891,0.74246835
0.79931400,0.75064000,0.81319482,0.74917722
0.80242265,0.74399000,0.81484422,0.74139241
0.80030411,0.75275000,0.81518829,0.74924051
0.80702840,0.74571000,0.81937726,0.74455696
0.80174948,0.75161000,0.81588589,0.75037975
0.79652628,0.75270000,0.81140712,0.74879747
0.79944236,0.74861000,0.81466029,0.74620253
0.79570016,0.75367000,0.81304923,0.75126582
0.80230248,0.74537000,0.81392637,0.74291139
0.80664651,0.74791000,0.81803173,0.74746835
0.79769146,0.75398000,0.81021974,0.75158228
0.80174451,0.75111000,0.81268920,0.74670886
0.80513326,0.75219000,0.82230746,0.74759494
0.79050022,0.75278000,0.80562560,0.74791139
0.79609820,0.75327000,0.80859737,0.75101266
0.80111549,0.75141000,0.81512148,0.74569620
0.79921854,0.74937000,0.81317892,0.74582278
0.80141799,0.75361000,0.81552391,0.74892405
0.79710215,0.74788000,0.81287316,0.74158228
0.79610840,0.74680000,0.81221542,0.74348101
0.79055240,0.75020000,0.80652444,0.74740506
0.79922469,0.74891000,0.81352067,0.74702532
0.79460534,0.74991000,0.81048643,0.74677215
0.80135621,0.74569000,0.81905544,0.74044304
0.79448583,0.75493000,0.80909008,0.75126582
0.79116337,0.75117000,0.80483613,0.74810127
0.79108685,0.75315000,0.80638817,0.74993671
0.79405833,0.75135000,0.80861802,0.74905063
0.78672828,0.75843000,0.80331838,0.75107595
0.78913909,0.74713000,0.80308542,0.74468354
0.79557521,0.74925000,0.81122331,0.74664557
0.79321569,0.75016000,0.80839501,0.74696203
0.78788009,0.74703000,0.80084566,0.74379747
0.78957602,0.75338000,0.80316781,0.74759494
0.78512746,0.75570000,0.79712758,0.75360759
0.78991422,0.75185000,0.80192688,0.75253165
0.79076427,0.75026000,0.81148867,0.74373418
0.80290075,0.74879000,0.81865260,0.74765823
0.79863967,0.75117000,0.81304020,0.74721519
0.79151319,0.75316000,0.80666008,0.75322785
0.79409262,0.75097000,0.80975483,0.74879747
0.79276787,0.75170000,0.80838776,0.74936709
