learning_rate: 0.01, batch_size: 50, num_epochs: 100, l2_coeff: 0.01, error(test): 2.35498895039, acc(test): 0.430632911392, time: 608.8060631752014
error(train),acc(train),error(valid),acc(valid)
4.62137855,0.02402000,4.62483150,0.02386076
3.08041041,0.24547000,3.10550746,0.23613924
2.86955382,0.30181000,2.90195560,0.29392405
2.74288217,0.33443000,2.77343585,0.32544304
2.65036862,0.35680000,2.68743768,0.34955696
2.58300021,0.37606000,2.61126016,0.37088608
2.52662028,0.39664000,2.56142717,0.38582278
2.48491240,0.40794000,2.52841245,0.39310127
2.44354107,0.40313000,2.48276628,0.39158228
2.42608902,0.40537000,2.46709099,0.39322785
2.41105207,0.41481000,2.45341257,0.40506329
2.39099229,0.42361000,2.44004822,0.41208861
2.38516368,0.42576000,2.43816831,0.40924051
2.37089085,0.43516000,2.41149190,0.42449367
2.36251940,0.43183000,2.41344449,0.41962025
2.36553083,0.43561000,2.40908715,0.42278481
2.34666597,0.43704000,2.39256464,0.42803797
2.35145018,0.44038000,2.39548902,0.42740506
2.34592909,0.43103000,2.39399461,0.41746835
2.34437485,0.43584000,2.38700185,0.42626582
2.34423712,0.44038000,2.39679968,0.42664557
2.33734295,0.43967000,2.38886690,0.42594937
2.33171314,0.44014000,2.37970652,0.42487342
2.33211475,0.43200000,2.37737719,0.41645570
2.33079396,0.44058000,2.37744748,0.42759494
2.33881668,0.44142000,2.38371689,0.43075949
2.32760430,0.43765000,2.38244914,0.42335443
2.32639603,0.44007000,2.36588948,0.42835443
2.33612587,0.44609000,2.38458011,0.43303797
2.32510693,0.44077000,2.37899402,0.42430380
2.32170219,0.44725000,2.36594786,0.43297468
2.32547730,0.43971000,2.36927657,0.42753165
2.31635198,0.44870000,2.37410498,0.43373418
2.33264554,0.43967000,2.37341094,0.42740506
2.32531887,0.44536000,2.37312869,0.43208861
2.31193561,0.45376000,2.36643421,0.43607595
2.31848340,0.44267000,2.36645723,0.43082278
2.31724331,0.45037000,2.36758303,0.43797468
2.31628553,0.45046000,2.36821148,0.43424051
2.32043805,0.44709000,2.36262026,0.43772152
2.31040798,0.45344000,2.36136135,0.43740506
2.31520496,0.44376000,2.35717647,0.43082278
2.31478486,0.44600000,2.36742783,0.43196203
2.31860583,0.44122000,2.36562864,0.42651899
2.32615160,0.44246000,2.37824701,0.42569620
2.30715753,0.44641000,2.35458391,0.43367089
2.32049312,0.44345000,2.36197569,0.43284810
2.31577921,0.45214000,2.37470323,0.43405063
2.31495888,0.44685000,2.36859026,0.43063291
2.31331633,0.44450000,2.36336870,0.42620253
2.31472742,0.44327000,2.36045784,0.42917722
2.31748995,0.44963000,2.36775849,0.43607595
2.30953716,0.44508000,2.36235183,0.43139241
2.30987797,0.44785000,2.35072945,0.43379747
2.32456419,0.44229000,2.37572015,0.42392405
2.30818317,0.45510000,2.35281028,0.43968354
2.31281313,0.44558000,2.36174564,0.43183544
2.30993616,0.44761000,2.35791088,0.42917722
2.30262893,0.45220000,2.35543999,0.43898734
2.31039112,0.44923000,2.35918038,0.43677215
2.31277322,0.44675000,2.36163212,0.43107595
2.30744545,0.45191000,2.35191823,0.43645570
2.31824762,0.45063000,2.37158594,0.43379747
2.30444806,0.44912000,2.35236860,0.43835443
2.29677095,0.45291000,2.34384507,0.44094937
2.30668410,0.45120000,2.35401088,0.44025316
2.30314721,0.45333000,2.34911057,0.44183544
2.31690825,0.44946000,2.35339547,0.43873418
2.31517818,0.44442000,2.36013581,0.42537975
2.31360050,0.44795000,2.35444914,0.43917722
2.31179330,0.44847000,2.36628849,0.42993671
2.29875292,0.45626000,2.34456404,0.44335443
2.30589714,0.44719000,2.35495233,0.43613924
2.30521309,0.44533000,2.36220666,0.42765823
2.31567667,0.44232000,2.37134962,0.42525316
2.30073150,0.44688000,2.35212234,0.43632911
2.30920366,0.44740000,2.36163799,0.43063291
2.30900830,0.45423000,2.35581006,0.44082278
2.30906521,0.44731000,2.36259121,0.43303797
2.30124878,0.45194000,2.35281352,0.43791139
2.30478079,0.44443000,2.35164499,0.42772152
2.30942260,0.44467000,2.36191614,0.42651899
2.30857481,0.44945000,2.35996483,0.43784810
2.30558725,0.45042000,2.35533906,0.43563291
2.31329281,0.45394000,2.36514627,0.43949367
2.30376548,0.44985000,2.35705348,0.43436709
2.30538476,0.45319000,2.35361732,0.43816456
2.30402826,0.45177000,2.34592905,0.44069620
2.31088415,0.44860000,2.36174283,0.43670886
2.30837761,0.45430000,2.36831305,0.43588608
2.29994221,0.45892000,2.34720085,0.44607595
2.30323097,0.44939000,2.35900568,0.43531646
2.30379453,0.45624000,2.35090645,0.44481013
2.30003810,0.45278000,2.34874153,0.43727848
2.31530881,0.44950000,2.36939625,0.43620253
2.30351768,0.45145000,2.34608695,0.43740506
2.29495734,0.45736000,2.35460601,0.44088608
2.30148845,0.45272000,2.34977163,0.43683544
2.30483738,0.44940000,2.35835325,0.43360759
2.30198920,0.45412000,2.35804353,0.43329114
2.30291831,0.44736000,2.34327674,0.43658228
